State,Year,Value,COVID
Alabama,2000,1,0
Alabama,2002,1,0
Alabama,2004,1,0
Alabama,2006,1,0
Alabama,2008,1,0
Alabama,2010,1,0
Alabama,2012,1,0
Alabama,2014,1,0
Alabama,2016,1,0
Alabama,2018,1,0
Alabama,2020,3,1
Alabama,2022,1,0
Alabama,2024,1,0
Alabama,2026,1,0
Alaska,2000,3,0
Alaska,2002,3,0
Alaska,2004,3,0
Alaska,2006,3,0
Alaska,2008,3,0
Alaska,2010,3,0
Alaska,2012,3,0
Alaska,2014,3,0
Alaska,2016,3,0
Alaska,2018,3,0
Alaska,2020,3,0
Alaska,2022,3,0
Alaska,2024,3,0
Alaska,2026,3,0
Arizona,2000,3,0
Arizona,2002,3,0
Arizona,2004,3,0
Arizona,2006,3,0
Arizona,2008,3,0
Arizona,2010,3,0
Arizona,2012,3,0
Arizona,2014,3,0
Arizona,2016,3,0
Arizona,2018,3,0
Arizona,2020,3,0
Arizona,2022,3,0
Arizona,2024,3,0
Arizona,2026,3,0
Arkansas,2000,2,0
Arkansas,2002,2,0
Arkansas,2004,2,0
Arkansas,2006,2,0
Arkansas,2008,2,0
Arkansas,2010,2,0
Arkansas,2012,2,0
Arkansas,2014,2,0
Arkansas,2016,2,0
Arkansas,2018,2,0
Arkansas,2020,3,1
Arkansas,2022,2,0
Arkansas,2024,2,0
Arkansas,2026,2,0
California,2000,3,0
California,2002,3,0
California,2004,3,0
California,2006,3,0
California,2008,3,0
California,2010,3,0
California,2012,3,0
California,2014,3,0
California,2016,3,0
California,2018,3,0
California,2020,3,0
California,2022,3,0
California,2024,3,0
California,2026,3,0
Colorado,2000,3,0
Colorado,2002,3,0
Colorado,2004,3,0
Colorado,2006,3,0
Colorado,2008,3,0
Colorado,2010,3,0
Colorado,2012,3,0
Colorado,2014,3,0
Colorado,2016,3,0
Colorado,2018,3,0
Colorado,2020,3,0
Colorado,2022,3,0
Colorado,2024,3,0
Colorado,2026,3,0
Connecticut,2000,1,0
Connecticut,2002,1,0
Connecticut,2004,1,0
Connecticut,2006,1,0
Connecticut,2008,1,0
Connecticut,2010,1,0
Connecticut,2012,1,0
Connecticut,2014,1,0
Connecticut,2016,1,0
Connecticut,2018,1,0
Connecticut,2020,3,1
Connecticut,2022,3,1
Connecticut,2024,2,0
Connecticut,2026,2,0
District of Columbia,2000,1,0
District of Columbia,2002,1,0
District of Columbia,2004,1,0
District of Columbia,2006,1,0
District of Columbia,2008,1,0
District of Columbia,2010,3,0
District of Columbia,2012,3,0
District of Columbia,2014,3,0
District of Columbia,2016,3,0
District of Columbia,2018,3,0
District of Columbia,2020,3,0
District of Columbia,2022,3,0
District of Columbia,2024,3,0
District of Columbia,2026,3,0
Delaware,2000,1,0
Delaware,2002,1,0
Delaware,2004,1,0
Delaware,2006,1,0
Delaware,2008,1,0
Delaware,2010,1,0
Delaware,2012,1,0
Delaware,2014,1,0
Delaware,2016,1,0
Delaware,2018,1,0
Delaware,2020,3,1
Delaware,2022,2,0
Delaware,2024,2,0
Delaware,2026,2,0
Florida,2000,1,0
Florida,2002,3,0
Florida,2004,3,0
Florida,2006,3,0
Florida,2008,3,0
Florida,2010,3,0
Florida,2012,3,0
Florida,2014,3,0
Florida,2016,3,0
Florida,2018,3,0
Florida,2020,3,0
Florida,2022,3,0
Florida,2024,3,0
Florida,2026,3,0
Georgia,2000,1,0
Georgia,2002,1,0
Georgia,2004,2,0
Georgia,2006,3,0
Georgia,2008,3,0
Georgia,2010,3,0
Georgia,2012,3,0
Georgia,2014,3,0
Georgia,2016,3,0
Georgia,2018,3,0
Georgia,2020,3,0
Georgia,2022,3,0
Georgia,2024,3,0
Georgia,2026,3,0
Hawaii,2000,3,0
Hawaii,2002,3,0
Hawaii,2004,3,0
Hawaii,2006,3,0
Hawaii,2008,3,0
Hawaii,2010,3,0
Hawaii,2012,3,0
Hawaii,2014,3,0
Hawaii,2016,3,0
Hawaii,2018,3,0
Hawaii,2020,3,0
Hawaii,2022,3,0
Hawaii,2024,3,0
Hawaii,2026,3,0
Idaho,2000,3,0
Idaho,2002,3,0
Idaho,2004,3,0
Idaho,2006,3,0
Idaho,2008,3,0
Idaho,2010,3,0
Idaho,2012,3,0
Idaho,2014,3,0
Idaho,2016,3,0
Idaho,2018,3,0
Idaho,2020,3,0
Idaho,2022,3,0
Idaho,2024,3,0
Idaho,2026,3,0
Illinois,2000,1,0
Illinois,2002,1,0
Illinois,2004,1,0
Illinois,2006,2,0
Illinois,2008,2,0
Illinois,2010,3,0
Illinois,2012,3,0
Illinois,2014,3,0
Illinois,2016,3,0
Illinois,2018,3,0
Illinois,2020,3,0
Illinois,2022,3,0
Illinois,2024,3,0
Illinois,2026,3,0
Indiana,2000,1,0
Indiana,2002,1,0
Indiana,2004,2,0
Indiana,2006,2,0
Indiana,2008,2,0
Indiana,2010,2,0
Indiana,2012,2,0
Indiana,2014,2,0
Indiana,2016,2,0
Indiana,2018,2,0
Indiana,2020,2,0
Indiana,2022,2,0
Indiana,2024,2,0
Indiana,2026,2,0
Iowa,2000,3,0
Iowa,2002,3,0
Iowa,2004,3,0
Iowa,2006,3,0
Iowa,2008,3,0
Iowa,2010,3,0
Iowa,2012,3,0
Iowa,2014,3,0
Iowa,2016,3,0
Iowa,2018,3,0
Iowa,2020,3,0
Iowa,2022,3,0
Iowa,2024,3,0
Iowa,2026,3,0
Kansas,2000,3,0
Kansas,2002,3,0
Kansas,2004,3,0
Kansas,2006,3,0
Kansas,2008,3,0
Kansas,2010,3,0
Kansas,2012,3,0
Kansas,2014,3,0
Kansas,2016,3,0
Kansas,2018,3,0
Kansas,2020,3,0
Kansas,2022,3,0
Kansas,2024,3,0
Kansas,2026,3,0
Kentucky,2000,1,0
Kentucky,2002,1,0
Kentucky,2004,1,0
Kentucky,2006,1,0
Kentucky,2008,1,0
Kentucky,2010,1,0
Kentucky,2012,1,0
Kentucky,2014,1,0
Kentucky,2016,1,0
Kentucky,2018,1,0
Kentucky,2020,3,1
Kentucky,2022,2,0
Kentucky,2024,2,0
Kentucky,2026,2,0
Louisiana,2000,1,0
Louisiana,2002,1,0
Louisiana,2004,1,0
Louisiana,2006,2,0
Louisiana,2008,2,0
Louisiana,2010,2,0
Louisiana,2012,2,0
Louisiana,2014,2,0
Louisiana,2016,2,0
Louisiana,2018,2,0
Louisiana,2020,2,0
Louisiana,2022,2,0
Louisiana,2024,2,0
Louisiana,2026,2,0
Maine,2000,3,0
Maine,2002,3,0
Maine,2004,3,0
Maine,2006,3,0
Maine,2008,3,0
Maine,2010,3,0
Maine,2012,3,0
Maine,2014,3,0
Maine,2016,3,0
Maine,2018,3,0
Maine,2020,3,0
Maine,2022,3,0
Maine,2024,3,0
Maine,2026,3,0
Maryland,2000,1,0
Maryland,2002,1,0
Maryland,2004,1,0
Maryland,2006,3,0
Maryland,2008,3,0
Maryland,2010,3,0
Maryland,2012,3,0
Maryland,2014,3,0
Maryland,2016,3,0
Maryland,2018,3,0
Maryland,2020,3,0
Maryland,2022,3,0
Maryland,2024,3,0
Maryland,2026,3,0
Massachusetts,2000,1,0
Massachusetts,2002,1,0
Massachusetts,2004,1,0
Massachusetts,2006,1,0
Massachusetts,2008,1,0
Massachusetts,2010,1,0
Massachusetts,2012,1,0
Massachusetts,2014,1,0
Massachusetts,2016,2,0
Massachusetts,2018,2,0
Massachusetts,2020,3,1
Massachusetts,2022,3,0
Massachusetts,2024,3,0
Massachusetts,2026,3,0
Michigan,2000,1,0
Michigan,2002,1,0
Michigan,2004,1,0
Michigan,2006,1,0
Michigan,2008,1,0
Michigan,2010,1,0
Michigan,2012,1,0
Michigan,2014,1,0
Michigan,2016,1,0
Michigan,2018,1,0
Michigan,2020,3,0
Michigan,2022,3,0
Michigan,2024,3,0
Michigan,2026,3,0
Minnesota,2000,1,0
Minnesota,2002,1,0
Minnesota,2004,1,0
Minnesota,2006,1,0
Minnesota,2008,1,0
Minnesota,2010,1,0
Minnesota,2012,1,0
Minnesota,2014,3,0
Minnesota,2016,3,0
Minnesota,2018,3,0
Minnesota,2020,3,0
Minnesota,2022,3,0
Minnesota,2024,3,0
Minnesota,2026,3,0
Mississippi,2000,1,0
Mississippi,2002,1,0
Mississippi,2004,1,0
Mississippi,2006,1,0
Mississippi,2008,1,0
Mississippi,2010,1,0
Mississippi,2012,1,0
Mississippi,2014,1,0
Mississippi,2016,1,0
Mississippi,2018,1,0
Mississippi,2020,1,0
Mississippi,2022,1,0
Mississippi,2024,1,0
Mississippi,2026,1,0
Missouri,2000,1,0
Missouri,2002,1,0
Missouri,2004,1,0
Missouri,2006,1,0
Missouri,2008,1,0
Missouri,2010,1,0
Missouri,2012,1,0
